0: System.Action`1::Invoke(!0)
45: System.Collections.Generic.IEqualityComparer`1::GetHashCode(!0)
46: System.Xaml.Schema.SafeReflectionInvoker/InvokeMethodDelegate::Invoke(System.Reflection.MethodInfo,System.Object,System.Object[])
47: System.RuntimeMethodHandle::InvokeMethod(System.Object,System.Object[],System.Signature,System.Boolean)
48: System.RuntimeMethodHandle::InvokeMethod(System.Object,System.Object[],System.Signature,System.Boolean)
49: System.Object::GetType()
50: System.Collections.Generic.IEqualityComparer`1::Equals(!0,!0)
51: System.Collections.Generic.IEqualityComparer`1::GetHashCode(!0)
52: MS.Internal.Xaml.Runtime.IAddLineInfo::WithLineInfo(System.Xaml.XamlException)
53: System.Collections.Generic.IEqualityComparer`1::Equals(!0,!0)
54: System.Collections.Generic.IEqualityComparer`1::GetHashCode(!0)
55: System.Collections.Generic.IEqualityComparer`1::GetHashCode(!0)
56: System.Collections.Generic.IEqualityComparer`1::GetHashCode(!0)
57: System.Collections.Generic.IEqualityComparer`1::Equals(!0,!0)
58: System.Collections.Generic.IEqualityComparer`1::Equals(!0,!0)
59: System.Collections.Generic.IEqualityComparer`1::Equals(!0,!0)
60: System.Object::GetType()
61: System.RuntimeType::AllocateValueType(System.RuntimeType,System.Object,System.Boolean)
62: System.RuntimeType::AllocateValueType(System.RuntimeType,System.Object,System.Boolean)
63: System.Object::GetType()
64: System.Runtime.Remoting.RemotingServices::GetRealProxy(System.Object)
65: System.Object::GetType()
66: System.Object::GetType()
67: System.ComponentModel.MemberDescriptor::get_Name()
68: System.ComponentModel.MemberDescriptor::get_Name()
69: System.ComponentModel.MemberDescriptor::get_Name()
70: System.Array::InternalSetValue(System.Void*,System.Object)
71: System.Object::GetType()
72: System.RuntimeType::AllocateValueType(System.RuntimeType,System.Object,System.Boolean)
73: System.RuntimeType::AllocateValueType(System.RuntimeType,System.Object,System.Boolean)
74: System.Object::GetType()
75: System.Runtime.Remoting.RemotingServices::GetRealProxy(System.Object)
76: System.Object::GetType()
77: System.Object::GetType()
78: System.Object::Equals(System.Object)
79: System.Collections.Generic.IEqualityComparer`1::GetHashCode(!0)
80: System.Collections.Generic.IEqualityComparer`1::GetHashCode(!0)
81: System.Collections.Generic.IEqualityComparer`1::Equals(!0,!0)
82: System.Object::ToString()
83: System.ICustomFormatter::Format(System.String,System.Object,System.IFormatProvider)
84: System.Object::GetType()
85: System.Enum::InternalCompareTo(System.Object,System.Object)
86: System.Decimal::FCallCompare(System.Decimal&,System.Decimal&)
87: System.Array::TrySZBinarySearch(System.Array,System.Int32,System.Int32,System.Object,System.Int32&)
88: System.Object::Equals(System.Object)
89: System.Object::Equals(System.Object)
90: System.Object::GetType()
91: System.RuntimeType::AllocateValueType(System.RuntimeType,System.Object,System.Boolean)
92: System.RuntimeType::AllocateValueType(System.RuntimeType,System.Object,System.Boolean)
93: System.Object::GetType()
94: System.Runtime.Remoting.RemotingServices::GetRealProxy(System.Object)
95: System.Object::GetType()
96: System.Object::GetType()
97: System.Object::Equals(System.Object)
98: System.Collections.Generic.IEqualityComparer`1::GetHashCode(!0)
99: System.Collections.Generic.IEqualityComparer`1::GetHashCode(!0)
100: System.Collections.Generic.IEqualityComparer`1::Equals(!0,!0)
101: System.Object::ToString()
102: System.ICustomFormatter::Format(System.String,System.Object,System.IFormatProvider)
103: System.Object::GetType()
104: System.Enum::InternalCompareTo(System.Object,System.Object)
105: System.Decimal::FCallCompare(System.Decimal&,System.Decimal&)
106: System.Array::TrySZBinarySearch(System.Array,System.Int32,System.Int32,System.Object,System.Int32&)
107: System.Object::Equals(System.Object)
108: System.Object::Equals(System.Object)
109: System.Object::GetType()
110: System.RuntimeType::AllocateValueType(System.RuntimeType,System.Object,System.Boolean)
111: System.RuntimeType::AllocateValueType(System.RuntimeType,System.Object,System.Boolean)
112: System.Object::GetType()
113: System.Runtime.Remoting.RemotingServices::GetRealProxy(System.Object)
114: System.Object::GetType()
115: System.Object::GetType()
116: System.Object::Equals(System.Object)
117: System.Collections.Generic.IEqualityComparer`1::GetHashCode(!0)
118: System.Collections.Generic.IEqualityComparer`1::GetHashCode(!0)
119: System.Collections.Generic.IEqualityComparer`1::Equals(!0,!0)
120: System.Object::ToString()
121: System.ICustomFormatter::Format(System.String,System.Object,System.IFormatProvider)
122: System.Object::GetType()
123: System.Enum::InternalCompareTo(System.Object,System.Object)
124: System.Decimal::FCallCompare(System.Decimal&,System.Decimal&)
125: System.Array::TrySZBinarySearch(System.Array,System.Int32,System.Int32,System.Object,System.Int32&)
126: System.Object::Equals(System.Object)
127: System.Object::Equals(System.Object)
128: System.EventHandler`1::Invoke(System.Object,!0)
129: System.Object::GetType()
130: System.Object::GetType()
131: System.Object::GetType()
132: System.RuntimeType::AllocateValueType(System.RuntimeType,System.Object,System.Boolean)
133: System.RuntimeType::AllocateValueType(System.RuntimeType,System.Object,System.Boolean)
134: System.Object::GetType()
135: System.Runtime.Remoting.RemotingServices::GetRealProxy(System.Object)
136: System.Object::GetType()
137: System.Object::GetType()
138: System.Object::Equals(System.Object)
139: System.Collections.Generic.IEqualityComparer`1::GetHashCode(!0)
140: System.Collections.Generic.IEqualityComparer`1::GetHashCode(!0)
141: System.Collections.Generic.IEqualityComparer`1::Equals(!0,!0)
142: System.Object::ToString()
143: System.ICustomFormatter::Format(System.String,System.Object,System.IFormatProvider)
144: System.Object::GetType()
145: System.Enum::InternalCompareTo(System.Object,System.Object)
146: System.Decimal::FCallCompare(System.Decimal&,System.Decimal&)
147: System.Array::TrySZBinarySearch(System.Array,System.Int32,System.Int32,System.Object,System.Int32&)
148: System.Object::Equals(System.Object)
149: System.Object::Equals(System.Object)
150: System.CtorDelegate::Invoke(System.Object)
